unit_id,rms_voltage,battery_voltage,latency_ms,modem_strength,wifi_strength,Packets received
2889,0.00,3822.49,5.123345098039216,22.34,NULL,16.0000000000000000
2890,0.00,3883.08,5.879625,23.96,NULL,24.0000000000000000
2891,0.00,3966.91,5.754090909090909,19.55,NULL,11.0000000000000000
2892,0.00,3868.36,6.295857142857143,23.50,NULL,14.0000000000000000
2893,0.00,3875.53,4.064628205128205,29.37,NULL,11.0000000000000000
2894,0.00,3875.94,7.466764705882354,25.18,NULL,17.0000000000000000
2895,50.90,3912.28,5.893113425925925,22.33,NULL,20.2500000000000000
2896,0.00,3855.60,4.401000000000001,26.40,NULL,5.0000000000000000
2897,0.00,3886.34,5.461027777777778,26.20,NULL,13.5000000000000000
2898,0.00,3849.34,5.302444444444444,24.67,NULL,5.5000000000000000
2899,204.08,4037.48,9.86570743446105,21.61,NULL,252.0000000000000000
2900,67.87,3979.10,4.04077662835249,21.47,NULL,15.3333333333333333
2901,0.00,3887.43,11.102142857142857,25.86,NULL,7.0000000000000000
2902,0.00,3918.72,5.675857142857144,22.36,NULL,4.0000000000000000
2903,0.00,3911.81,4.588714285714286,22.76,NULL,21.0000000000000000
2904,89.78,4028.91,5.781254901960784,25.30,NULL,26.5000000000000000
2905,0.00,3879.50,4.716695238095239,20.69,NULL,13.0000000000000000
2906,0.00,3899.40,3.7490666666666668,24.93,NULL,15.0000000000000000
2907,0.00,3897.16,6.986315789473685,25.74,NULL,19.0000000000000000
2908,0.00,3900.54,10.946846153846156,24.08,NULL,26.0000000000000000
2909,0.00,3864.23,7.91102380952381,21.21,NULL,13.5000000000000000
2910,0.00,3887.11,4.387777777777778,28.22,NULL,18.0000000000000000
2911,0.00,3868.54,4.407133333333333,25.09,NULL,5.0000000000000000
2912,0.00,3925.35,4.795461538461538,20.27,NULL,7.0000000000000000
2913,201.22,4007.00,6.250142857142857,23.79,NULL,14.0000000000000000
2914,0.00,3934.60,7.9764,20.80,NULL,4.0000000000000000
2915,88.10,3996.28,6.292284722222222,24.64,NULL,26.0000000000000000
2916,0.00,3892.98,4.7072627118644075,21.16,NULL,30.0000000000000000
2917,222.79,4075.25,3.9970212339743583,23.51,NULL,126.0000000000000000
2919,23.15,3710.84,5.460842609126984,23.87,16.27,38.0000000000000000
2923,116.71,3749.67,3.0715,18.50,26.67,6.0000000000000000
2932,127.69,4020.52,6.549301336813796,31.62,50.36,25.7142857142857143
2934,224.92,4079.61,6.444679452528349,23.58,162.60,284.1492537313432836
2935,223.38,4075.18,7.245219883763058,29.00,77.34,281.1940298507462687
2936,225.26,4093.56,6.4287850439594285,27.42,165.51,284.0303030303030303
2937,224.99,4081.79,6.4760249670355226,27.78,164.60,283.3333333333333333
2938,225.91,4082.72,6.946550711986679,27.94,31.52,283.7142857142857143
2939,225.96,4086.11,6.722352534424569,25.95,31.07,282.6825396825396825
2940,225.02,4034.71,6.5251296935831125,26.21,36.02,277.0000000000000000
2941,225.26,4077.95,6.700452626459243,27.34,161.66,283.1343283582089552
2942,225.14,4048.37,6.6253372565552775,26.97,173.20,283.4328358208955224
2943,217.91,4034.27,7.167120501301276,27.12,56.16,277.9354838709677419
2944,0.00,3520.89,12.523777777777779,21.11,NULL,9.0000000000000000
2945,228.95,4075.09,5.7867082663526075,98.72,176.29,266.0000000000000000
2946,183.72,3985.64,6.944468925656194,24.75,127.40,64.1250000000000000
2948,145.33,3986.56,6.569761785143753,27.81,90.69,58.2500000000000000
2949,86.87,3885.47,6.171526930471442,25.10,31.00,55.2000000000000000
2950,0.00,3779.22,7.415428571428571,24.22,31.00,4.0000000000000000
2951,181.74,3982.85,7.053869184050235,25.44,31.29,215.3333333333333333
2952,37.89,3834.52,4.7366704761904765,23.17,31.00,12.3333333333333333
2953,0.00,3838.78,4.733625,25.18,31.00,7.0000000000000000
2954,0.00,3841.31,4.357285714285715,25.17,31.00,5.0000000000000000
2955,0.00,3901.73,6.829076923076924,25.39,31.00,7.0000000000000000
2956,193.43,4009.69,9.49046245605831,32.24,30.98,237.2857142857142857
2957,0.00,3831.39,9.261388888888888,24.72,31.00,6.0000000000000000
2958,111.41,4009.97,5.818628389735724,23.33,30.54,138.2000000000000000
2959,131.65,4010.76,8.622376128953979,35.91,30.98,144.8333333333333333
2960,0.00,3883.59,5.026708333333334,24.21,31.00,9.0000000000000000
2961,160.10,3964.42,8.663594404832125,31.31,31.00,223.5000000000000000
2962,203.07,4072.46,7.940431109723632,31.82,30.96,256.4761904761904762
2963,0.00,3883.40,13.844333333333331,22.57,31.00,10.0000000000000000
2964,156.07,3949.19,6.399616510338939,33.45,31.34,246.2631578947368421
2965,0.00,3872.32,4.862562499999999,23.63,31.00,6.0000000000000000
2966,0.00,3893.72,6.172722222222221,25.92,31.00,7.5000000000000000
